cp,ne_lon,ne_lat,sw_lon,sw_lat
08028,41.5381895,2.2852601,41.2181895,1.9652601
08029,41.5466027,2.3063794,41.2266027,1.9863794
08014,41.5355434,2.2964067,41.2155434,1.9764067
08860,41.4242777,2.091348,41.1042777,1.771348
08015,41.537693,2.3179039,41.217693,1.9979039
08222,41.7242556,2.1851177,41.4042556,1.8651177
08030,41.5948412,2.3517612,41.2748412,2.0317612
08025,41.5688956,2.330948,41.2488956,2.010948
08024,41.5711039,2.3194221,41.2511039,1.9994221
08027,41.5821011,2.345966,41.2621011,2.025966
08034,41.5537148,2.2778485,41.2337148,1.9578485
08940,41.5207135,2.2393685,41.2007135,1.9193685
08013,41.5603499,2.338256,41.2403499,2.018256
08036,41.5498682,2.3117556,41.2298682,1.9917556
08800,41.3835763,1.8772048,41.0635763,1.5572048
08980,41.5446228,2.2080591,41.2246228,1.8880591
08004,41.5267405,2.3179541,41.2067405,1.9979541
08020,41.5807534,2.3618565,41.2607535,2.0418565
08005,41.5596007,2.3610184,41.2396007,2.0410184
08026,41.5718225,2.3453931,41.2518225,2.0253931
08904,41.5334997,2.2763556,41.2134997,1.9563556
08023,41.5711765,2.3054316,41.2511765,1.9854316
08173,41.6342247,2.2377123,41.3142247,1.9177123
08018,41.5635427,2.3517528,41.2435427,2.0317528
08850,41.4427692,2.1745235,41.1227692,1.8545235
08242,41.8907909,1.9856387,41.5707909,1.6656387
08840,41.4747662,2.175968,41.1547662,1.855968
08950,41.5341014,2.2487492,41.2141014,1.9287492
08221,41.7242656,2.1715615,41.4042656,1.8515615
08001,41.5405952,2.3295579,41.2205952,2.0095579
08022,41.5654879,2.2955066,41.2454879,1.9755066
08290,41.6504211,2.2986554,41.3304211,1.9786554
08032,41.5826392,2.3213304,41.2626392,2.0013304
08830,41.5009818,2.2028155,41.1809818,1.8828155
08225,41.735556,2.1645475,41.415556,1.8445475
08037,41.5592588,2.3248715,41.2392588,2.0048715
08901,41.52177,2.2642601,41.20177,1.9442601
08011,41.5443794,2.3189732,41.2243794,1.9989732
08970,41.5289774,2.223031,41.2089774,1.903031
08820,41.4839362,2.2597993,41.1639362,1.9397993
